artist_id,artist_name,artist_genre,artist_followers,artist_popularity
0EvGuw8fuWFtxhAsBOFTin,The Bled,`melodic metalcore` `post-hardcore` `progressive post-hardcore` `screamo` ,22268,34
0EyuKHE1AeE9lWUF8mzKVp,Fuel,`alternative metal` `alternative rock` `nu metal` `pop rock` `post-grunge` `rap rock` ,413285,60
0f5nVCcR06GX8Qikz0COtT,Omarion,`dance pop` `deep pop r&b` `hip pop` `pop` `pop rap` `r&b` `rap` `southern hip hop` `urban contemporary` ,1540205,68
0F6yRPhUj9fUzWn0z3ysyr,Shooter Jennings,`country rock` `outlaw country` `roots americana` `roots rock` `texas country` ,109145,52
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,`hip hop` `pop rap` `rap` ,3352126,80
0FFuvdY7fuiuTmHN9unYoz,Paul Carrack,`adult standards` `classic rock` `classic uk pop` `mellow gold` `new wave pop` `soft rock` ,88325,57
0fgtHVpOPfXb07S8Jx443z,Player,`country rock` `soft rock` `yacht rock` ,47012,51
0fgYKF9Avljex0L9Wt5b8Z,Echo & the Bunnymen,`alternative rock` `art rock` `dance rock` `dream pop` `new romantic` `new wave` `new wave pop` `permanent wave` `post-punk` `punk` `rock` ,415143,61
0FJpfR5Bq5EBl2xi0LAp1v,Clyde Carson,`cali rap` `hyphy` `west coast rap` `west coast trap` ,47679,47
0fopqCjtrh3Kw0mlSjVqfA,Paper Rival,`dreamo` ,6115,24
0FOWNUFHPnMy0vOw1siGqi,Belly,`canadian hip hop` `pop rap` `rap` `southern hip hop` `trap` `trap soul` `underground hip hop` ,169603,67
0FRIWJYklnmsll5M6h4gUL,The Carter Family,`appalachian folk` `bluegrass` `country gospel` `country rock` `folk` `old-time` `singer-songwriter` `traditional country` `traditional folk` `vocal harmony group` ,27418,46
0fTav4sBLmYOAzKuJw0grL,Mac Ayres,`alternative r&b` `indie r&b` `indie soul` ,196879,69
0FtsMKmZEq8fBWqdSOWtqp,03 Greedo,`cali rap` `melodic rap` `pop rap` `trap` `underground hip hop` `vapor trap` `west coast trap` ,120315,69
0fyqyjD7pbaVzbu94ylWQR,Poco,`album rock` `classic rock` `classic uk pop` `country rock` `folk` `folk rock` `heartland rock` `mellow gold` `roots rock` `singer-songwriter` `soft rock` ,106910,49
0fYw4bch7qTxBZLS3rSVMj,Powers Pleasant,`underground hip hop` ,25336,60
0G8zjE6SsFTlbglCkU8pm3,Starsailor,`britpop` `piano rock` ,126947,52
0g9M1gvT2qwl9rHHw7pMVc,Jan Dismas Zelenka,`baroque` `bohemian baroque` `classical` `early music` ,4295,36
0g9vAlRPK9Gt3FKCekk4TW,Ab-Soul,`alternative hip hop` `conscious hip hop` `hip hop` `pop rap` `rap` `southern hip hop` `underground hip hop` ,610466,66
0gadJ2b9A4SKsB1RFkBb66,Passenger,`neo mellow` `pop` `pop rock` ,2375523,76
0GByy3DcfbQwDvXGCWmzv9,Pretenders,`album rock` `art rock` `classic rock` `dance rock` `folk` `folk rock` `folk-pop` `lilith` `mellow gold` `new romantic` `new wave` `new wave pop` `permanent wave` `pop rock` `rock` `roots rock` `soft rock` ,619950,68
0gCGZZ1Ibo5QsOnll977PD,KILLY,`canadian hip hop` `melodic rap` `toronto rap` `trap` `underground hip hop` `vapor trap` ,341072,67
0GeeIVcvGA8GSlWsoY1dkG,Vory,`canadian hip hop` `trap soul` ,22869,63
0GLvcqWIueXNjv3212pJAj,Cactus,`blues rock` `classic rock` `hard rock` `psychedelic blues-rock` `psychedelic rock` ,32148,38
0grdhNhiRLFBaFVyybqsj6,Richard Marx,`mellow gold` `new wave pop` `soft rock` ,508300,67
0GWCNkPi54upO9WLlwjAHd,Big Time Rush,`boy band` `dance pop` `pop` `post-teen pop` ,1628572,68
0gWNSMYCSHF4wxIs1XTSDh,Bill Anderson,`nashville sound` ,31155,40
0GzIauSfKRc5BlNXpTWAGz,Jessie James Decker,`contemporary country` ,108073,55
0H0ecXlhDYTUGUNYlALEg0,Show Banga,`cali rap` `hyphy` `west coast trap` ,17363,40
0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,`melodic rap` `pop rap` `rap` `trap` `underground hip hop` ,193773,76
0H7XMkYygCyZGg8o1uqoZv,Brandon Lay,`contemporary country` `country pop` `country road` `modern country rock` ,19773,54
0hFSUykrqfVXac7E3ZpiaH,The Gutter Twins,,12443,27
0HkcYmcjrBR3SCw9Ld5VZk,Calboy,`chicago rap` `melodic rap` `pop rap` `rap` `southern hip hop` `trap` ,268806,73
0HLOP0AdsaWe5Pt5TNueGC,Terri Clark,`alberta country` `canadian contemporary country` `canadian country` `contemporary country` `country` `country dawn` `country road` ,259099,49
0HowPCaKsP1sJL2T2eMEoe,My Epic,`christian hardcore` `christian metal` `christian rock` `christian uplift` `dreamo` `progressive post-hardcore` ,15873,37
0huGjMyP507tBCARyzSkrv,YBN Cordae,`dmv rap` `hip hop` `pop rap` `rap` `trap` `underground hip hop` `vapor trap` ,793272,78
0hxmHf6CqXsOLWgGXjmr7I,Anthony Green,`dreamo` `emo` `post-hardcore` `progressive post-hardcore` `screamo` ,74401,48
0hYxQe3AK5jBPCr5MumLHD,Sugarland,`contemporary country` `country` `country dawn` `country road` `modern country rock` ,1062791,64
0IdYRFTswLdsGwSnzOaGNF,Gretchen Wilson,`contemporary country` `country` `country dawn` `country road` ,456751,56
